目录名称,新目录,歌曲目录名称,歌曲名称,PP值-容易,PP值-通常,PP值-困难,PP值-专家,PP值-噩梦,难度-容易,难度-通常,难度-困难,难度-专家,难度-噩梦,hash
默认目录,,Jaroslav Beck - Beat Saber (Built in),Beat Saber - Jaroslav Beck[],,,,,,,,,,,0015E55C3667D302F42B7B0C56F2C62760E829CB
默认目录,,One More Time,One More Time - Berlin Child[Freeek],,,,,,,,,,,3C01DA2A69BA6EB3C2EFD50EEB7C431F09C44C3B
大佬包,,1009 (G1ll35 d3 R415 - hexagonial),G1ll35 d3 R415 - Team Grimoire[Hexagonial],,,,0,402.628,,,,0,9.09,A03D474F37137E0DB7FD0D58BE1D97D8458E8AE5
大佬包,,11d1 (Tool-Assisted Speedcore - Krydar),Tool-Assisted Speedcore - Kobaryo[Kry],,,,,310.266,,,,,7.03,2920185B3EC35535E46E990980607F5C33547317
大佬包,,123b (TWISTSTEP - roeek),TWISTSTEP - Pa's Lam System[Mapped by roeek],,,,,306.907,,,,,6.89,BC6220ACE2AEDE409EFF44851C2272322AC75C84
大佬包,,126c (iLLness LiLin - mystikmol),iLLness LiLin  - Chart by Mystikmol[Kaneko Chiharu],,54.571,123.617,222.557,0,,1.18,2.77,5.26,0,0BFAB2B62C6D7EA1C3587C48EFD1A0EEC365D983
大佬包,,1368 (ParagonX9 - Infiltration - jackscape),ParagonX9 - Infiltration - [jackscape],,,,,247.835,,,,,5.46,C1679483DEEF2187F09DD5CCB4E16CADE04D7013
大佬包,,13cd (Future Candy - Saut),Future Candy - YUC'e[Saut],,,,,260.772,,,,,5.85,81D9E735CF005F93BC6064A963FE49B4C1BEEF62
大佬包,,13fe (Ievan Polkka - Nightcore - nicetomeetyou),Ievan Polkka - Nightcore - [NiceToMeetYou],,,,,261.623,,,,,5.8,6089D255B56DEA46C030AEB3A66BE8AA48029E7D
大佬包,,1460 (Avalanche - Zorowo),Avalanche - Memme[Zorowo],,,,,321.059,,,,,7.12,3DEDF5840D5438920D9105315D44FD35625F5BCD
大佬包,,1493 (R4V3 B0Y (Rave Boy) - dropoffire),R4V3 B0Y (Rave Boy) - S3RL[DropOfFire],,,,222.96,,,,,4.94,,A5C831BAE7B74BB1CDF02FDE8EB93E40023EE15B
大佬包,,1665 (Two-Faced Lovers feat. Miku - todokete),Two-Faced Lovers feat. Miku - by Wowaka[Todokete],,0,0,0,287.238,,0,0,0,6.38,D03257E1541D4E6381ACCA614DCA5225D62FA1E4
大佬包,,17e4 (HONESTY - hexagonial),HONESTY - GYZE feat. Ettore Rigotti[Hexagonial (V2)],,,,243.663,306.772,,,,5.3,6.88,B758BA486DDD190D87EF5C87525FB1286E36E52B
大佬包,,18e3 (You're Everything - Zorowo),You're Everything - P*Light vs Yuyoyuppe[Zorowo],,,,,265.041,,,,,5.85,9F58BC121CE735E903E42A8DD4947FA2E9360ED8
大佬包,,1949 (Black Emperor - mystikmol),Black Emperor - Chart by Mystikmol[Chroma],34.99,69.674,,275.545,0,0.75,1.5,,6.11,0,AA4038E7B937773382C569A097D7B3CF0C40407D
大佬包,,1a33 (RELOADED - Saut),RELOADED - EGOIST[Saut],,,107.603,186.401,300.511,,,2.35,4.11,6.72,A5BE6E439863B22BB0CA36E2F4EAD53452E1B978
大佬包,,1aeb (Be Wild - dankruptmemer),Be Wild - Camellia feat. Yukacco[DankruptMemer],,,,,251.854,,,,,5.63,F7E5BA8295C1040E1DBDC69F5F4C21A0557D960F
大佬包,,1ba1 (ACE FOR ACES - Krydar),ACE FOR ACES - TAGxU1[Kry],,,,,230.25,,,,,5.11,376F2ACE119DC0BA9C7D2DA74BF5AE096E0021E1
大佬包,,1bdd (osu!memories - psyc0pathic),osu!memories - SakiZ[Various Mappers],,,,,378.878,,,,,8.49,4310F1B1D5AE5344F6CCD0AB31B892DF166F6C1A
